date,holiday_name
2017-01-01,Universal Fraternization Day
2017-04-14,Good Friday
2017-04-21,Tiradentes' Day
2017-05-01,Worker's Day
2017-09-07,Independence Day
2017-10-12,Our Lady of Aparecida
2017-11-02,All Souls' Day
2017-11-15,Republic Proclamation Day
2017-12-25,Christmas Day
2018-01-01,Universal Fraternization Day
2018-03-30,Good Friday
2018-04-21,Tiradentes' Day
2018-05-01,Worker's Day
2018-09-07,Independence Day
2018-10-12,Our Lady of Aparecida
2018-11-02,All Souls' Day
2018-11-15,Republic Proclamation Day
2018-12-25,Christmas Day
